cno4,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
1421,0.17,0.23,0.26,0.17,0.08,0.05,0.03,0.01,0.0,0.0
1422,0.27,0.25,0.22,0.15,0.06,0.02,0.02,0.01,0.0,0.0
1429,0.19,0.25,0.24,0.17,0.08,0.04,0.02,0.01,0.0,0.0
1431,0.14,0.19,0.25,0.21,0.12,0.05,0.03,0.01,0.0,0.0
1432,0.16,0.23,0.26,0.19,0.09,0.04,0.02,0.01,0.0,0.0
1501,0.18,0.25,0.26,0.19,0.07,0.03,0.01,0.01,0.0,0.0
1509,0.2,0.31,0.26,0.14,0.05,0.02,0.01,0.01,0.0,0.0
2111,0.21,0.31,0.26,0.14,0.05,0.02,0.01,0.0,0.0,0.0
2112,0.25,0.36,0.21,0.12,0.04,0.01,0.01,0.0,0.0,0.0
2121,0.31,0.43,0.19,0.06,0.01,0.0,0.0,0.0,0.0,0.0
2122,0.23,0.38,0.24,0.11,0.03,0.01,0.0,0.0,0.0,0.0
2123,0.49,0.34,0.12,0.04,0.01,0.0,0.0,0.0,0.0,0.0
2130,0.35,0.41,0.17,0.06,0.01,0.0,0.0,0.0,0.0,0.0
2140,0.22,0.26,0.21,0.15,0.07,0.05,0.03,0.01,0.0,0.0
2151,0.39,0.41,0.15,0.04,0.01,0.0,0.0,0.0,0.0,0.0
2152,0.41000000000000003,0.43,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2153,0.28,0.27,0.22,0.14,0.05,0.02,0.01,0.01,0.0,0.0
2154,0.42,0.35000000000000003,0.16,0.06,0.01,0.0,0.0,0.0,0.0,0.0
2155,0.42,0.36,0.15,0.06,0.01,0.0,0.0,0.0,0.0,0.0
2156,0.38,0.42,0.16,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2157,0.62,0.3,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2158,0.19,0.21,0.24,0.19,0.09,0.04,0.03,0.01,0.0,0.0
2159,0.26,0.26,0.21,0.14,0.07,0.03,0.02,0.01,0.0,0.0
2210,0.11,0.15,0.23,0.23,0.13,0.07,0.05,0.02,0.01,0.0
2220,0.18,0.28,0.28,0.16,0.07,0.02,0.01,0.0,0.0,0.0
2230,0.12,0.19,0.27,0.23,0.1,0.05,0.03,0.01,0.0,0.0
2240,0.18,0.32,0.3,0.15,0.04,0.01,0.0,0.0,0.0,0.0
2251,0.42,0.4,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2252,0.51,0.35,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2311,0.2,0.29,0.28,0.15,0.05,0.02,0.01,0.0,0.0,0.0
2312,0.31,0.39,0.21,0.08,0.01,0.0,0.0,0.0,0.0,0.0
2321,0.17,0.17,0.21,0.19,0.11,0.06,0.05,0.03,0.01,0.0
2322,0.18,0.18,0.25,0.19,0.1,0.05,0.03,0.01,0.01,0.0
2323,0.34,0.38,0.2,0.07,0.01,0.0,0.0,0.0,0.0,0.0
2324,0.27,0.37,0.23,0.1,0.02,0.01,0.0,0.0,0.0,0.0
2325,0.09,0.08,0.15,0.19999999999999998,0.17,0.13,0.11,0.06,0.01,0.0
2326,0.21,0.3,0.26,0.15,0.05,0.02,0.01,0.0,0.0,0.0
2329,0.15,0.19,0.24,0.19,0.1,0.06,0.04,0.02,0.01,0.0
2411,0.24,0.31,0.23,0.13,0.05,0.02,0.01,0.01,0.0,0.0
2412,0.3,0.25,0.16,0.12,0.06,0.04,0.04,0.02,0.01,0.0
2413,0.21,0.31,0.23,0.15,0.06,0.02,0.01,0.01,0.0,0.0
2414,0.22,0.33,0.26,0.14,0.04,0.01,0.0,0.0,0.0,0.0
2415,0.1717171717171717,0.1414141414141414,0.1717171717171717,0.1717171717171717,0.1111111111111111,0.0808080808080808,0.0909090909090909,0.050505050505050504,0.0101010101010101,0.0
2416,0.15,0.11,0.16,0.2,0.12,0.1,0.1,0.05,0.01,0.0
2421,0.17,0.39,0.28,0.12,0.03,0.01,0.0,0.0,0.0,0.0
2422,0.26,0.36,0.24,0.11,0.02,0.01,0.0,0.0,0.0,0.0
2423,0.2,0.29,0.28,0.16,0.05,0.01,0.01,0.0,0.0,0.0
2424,0.35,0.35,0.21,0.08,0.01,0.0,0.0,0.0,0.0,0.0
2425,0.23,0.32,0.26,0.14,0.04,0.01,0.0,0.0,0.0,0.0
2426,0.18,0.23,0.24,0.18,0.09,0.05,0.02,0.01,0.0,0.0
2427,0.36,0.34,0.19,0.08,0.02,0.01,0.0,0.0,0.0,0.0
2431,0.18,0.26,0.28,0.18,0.07,0.02,0.01,0.0,0.0,0.0
2432,0.18,0.33,0.29,0.15,0.04,0.01,0.0,0.0,0.0,0.0
2433,0.23,0.33,0.25,0.13,0.04,0.01,0.01,0.0,0.0,0.0
2434,0.27,0.29,0.22,0.13,0.05,0.02,0.01,0.01,0.0,0.0
2435,0.20202020202020202,0.2727272727272727,0.2626262626262626,0.1717171717171717,0.0606060606060606,0.0202020202020202,0.0101010101010101,0.0,0.0,0.0
2436,0.24,0.37,0.25,0.11,0.02,0.01,0.0,0.0,0.0,0.0
2437,0.14,0.2,0.28,0.22,0.09,0.04,0.02,0.01,0.0,0.0
2439,0.15,0.21,0.27,0.21,0.09,0.04,0.02,0.01,0.0,0.0
2441,0.1616161616161616,0.2828282828282828,0.2727272727272727,0.1818181818181818,0.0707070707070707,0.0202020202020202,0.0101010101010101,0.0,0.0,0.0
2442,0.1,0.18,0.24000000000000002,0.22,0.14,0.07,0.04,0.01,0.0,0.0
2443,0.14,0.25,0.26,0.2,0.09,0.03,0.02,0.01,0.0,0.0
2451,0.13,0.2,0.26,0.21,0.11,0.05,0.03,0.01,0.0,0.0
2452,0.21,0.22,0.22999999999999998,0.18,0.09,0.04,0.02,0.01,0.0,0.0
2453,0.19,0.2,0.23,0.19,0.09,0.05,0.04,0.01,0.0,0.0
2454,0.31,0.35,0.21,0.1,0.02,0.01,0.0,0.0,0.0,0.0
2461,0.18,0.24,0.28,0.18,0.07,0.03,0.02,0.0,0.0,0.0
2462,0.31,0.39,0.22,0.07,0.01,0.0,0.0,0.0,0.0,0.0
2463,0.32,0.34,0.21,0.1,0.02,0.01,0.0,0.0,0.0,0.0
2464,0.54,0.32,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2465,0.29,0.33,0.22,0.12,0.03,0.01,0.0,0.0,0.0,0.0
2466,0.43,0.38,0.14,0.04,0.01,0.0,0.0,0.0,0.0,0.0
2469,0.31,0.28,0.2,0.12,0.04,0.02,0.02,0.01,0.0,0.0
2471,0.36,0.37,0.19,0.07,0.01,0.0,0.0,0.0,0.0,0.0
2472,0.45,0.36,0.14,0.04,0.01,0.0,0.0,0.0,0.0,0.0
2473,0.48,0.37,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2481,0.25,0.39,0.24,0.1,0.02,0.0,0.0,0.0,0.0,0.0
2482,0.1919191919191919,0.2828282828282828,0.2626262626262626,0.1616161616161616,0.0707070707070707,0.0202020202020202,0.0101010101010101,0.0,0.0,0.0
2483,0.42,0.35,0.16,0.06,0.01,0.0,0.0,0.0,0.0,0.0
2484,0.14,0.18,0.25,0.19,0.11,0.06,0.04,0.02,0.01,0.0
2511,0.08,0.09,0.17,0.23,0.17,0.12,0.1,0.03,0.01,0.0
2512,0.37,0.27,0.16,0.1,0.05,0.02,0.02,0.01,0.0,0.0
2513,0.46,0.3,0.13,0.06,0.02,0.01,0.01,0.01,0.0,0.0
2591,0.39,0.24,0.14,0.1,0.04,0.03,0.03,0.02,0.01,0.0
2592,0.33999999999999997,0.23,0.17,0.12,0.05,0.03,0.03,0.02,0.01,0.0
2599,0.12,0.11,0.17,0.21000000000000002,0.14,0.11,0.09,0.04,0.01,0.0
2611,0.1,0.07,0.12,0.18000000000000002,0.15,0.13,0.14,0.09,0.02,0.0
2612,0.16,0.15,0.19,0.18,0.12,0.08,0.07,0.04,0.01,0.0
2613,0.12,0.08,0.12,0.18000000000000002,0.13,0.11,0.13,0.1,0.03,0.0
2621,0.11,0.11,0.15,0.21000000000000002,0.14,0.1,0.1,0.06,0.02,0.0
2622,0.13,0.11,0.16,0.18,0.13,0.1,0.11,0.06,0.02,0.0
2623,0.22999999999999998,0.2,0.2,0.18,0.08,0.04,0.04,0.02,0.01,0.0
2624,0.15,0.13,0.19,0.21000000000000002,0.12,0.08,0.07,0.04,0.01,0.0
2625,0.08,0.08,0.15,0.22,0.17,0.12,0.11,0.06,0.01,0.0
2630,0.16,0.15,0.2,0.19999999999999998,0.12,0.07,0.06,0.03,0.01,0.0
2640,0.1717171717171717,0.2626262626262626,0.2727272727272727,0.1616161616161616,0.0707070707070707,0.0303030303030303,0.0202020202020202,0.0101010101010101,0.0,0.0
2651,0.06,0.06,0.13,0.21000000000000002,0.18,0.15,0.13,0.06,0.02,0.0
2652,0.08,0.1,0.19,0.24000000000000002,0.16,0.11,0.08,0.03,0.01,0.0
2653,0.16,0.23,0.26,0.18,0.09,0.04,0.03,0.01,0.0,0.0
2711,0.07,0.05,0.09,0.19,0.17,0.17,0.17,0.08,0.01,0.0
2712,0.0404040404040404,0.0303030303030303,0.050505050505050504,0.1212121212121212,0.1414141414141414,0.1717171717171717,0.29292929292929293,0.1313131313131313,0.0202020202020202,0.0
2713,0.03,0.03,0.04,0.07,0.11,0.17,0.33,0.19,0.03,0.0
2719,0.06,0.05,0.1,0.15,0.14,0.15,0.22,0.11,0.02,0.0
2721,0.09,0.06,0.1,0.16,0.16,0.14,0.16,0.11,0.02,0.0
2722,0.1,0.07,0.12,0.19,0.16,0.13,0.15,0.07,0.01,0.0
2723,0.09,0.09,0.14,0.21,0.16,0.12,0.13,0.05,0.01,0.0
2729,0.06,0.06,0.11,0.17,0.15,0.14,0.18,0.11,0.02,0.0
2810,0.09,0.09,0.14,0.19,0.16,0.12,0.12,0.07,0.02,0.0
2821,0.16,0.2,0.25,0.2,0.1,0.05,0.03,0.01,0.0,0.0
2822,0.17,0.15,0.2,0.17,0.11,0.07,0.07,0.05,0.01,0.0
2823,0.18,0.28,0.25,0.17,0.07,0.02,0.02,0.01,0.0,0.0
2824,0.25,0.34,0.23,0.12,0.04,0.01,0.01,0.0,0.0,0.0
2825,0.24,0.21,0.19,0.16,0.08,0.05,0.04,0.02,0.01,0.0
2830,0.48,0.32,0.12,0.06,0.01,0.01,0.0,0.0,0.0,0.0
2911,0.18,0.24,0.26,0.18,0.08,0.03,0.02,0.01,0.0,0.0
2912,0.13,0.13,0.19,0.22,0.13,0.09,0.07,0.03,0.01,0.0
2921,0.13,0.14,0.18,0.18,0.12,0.09,0.08,0.06,0.02,0.0
2922,0.11,0.12,0.2,0.23,0.14,0.09,0.07,0.03,0.01,0.0
2923,0.07,0.06,0.1,0.15,0.16,0.14,0.17,0.11,0.03,0.01
2931,0.4,0.39,0.15,0.05,0.01,0.0,0.0,0.0,0.0,0.0
2932,0.36,0.34,0.18,0.09,0.02,0.01,0.0,0.0,0.0,0.0
2933,0.71,0.21,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2934,0.25,0.34,0.23,0.12,0.04,0.01,0.01,0.0,0.0,0.0
2935,0.63,0.28,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2936,0.4,0.29,0.16,0.09,0.03,0.01,0.01,0.01,0.0,0.0
2937,0.9393939393939393,0.050505050505050504,0.0101010101010101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2939,0.9,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3110,0.34,0.24,0.16,0.11,0.05,0.03,0.04,0.02,0.01,0.0
3121,0.29,0.36,0.22,0.1,0.02,0.01,0.0,0.0,0.0,0.0
3122,0.26,0.39,0.23,0.09,0.02,0.01,0.0,0.0,0.0,0.0
3123,0.27,0.36,0.24,0.1,0.02,0.01,0.0,0.0,0.0,0.0
3124,0.22,0.3,0.26,0.15,0.05,0.01,0.01,0.0,0.0,0.0
3125,0.35,0.39,0.18,0.07,0.01,0.0,0.0,0.0,0.0,0.0
3126,0.29000000000000004,0.31,0.22,0.12,0.04,0.01,0.01,0.0,0.0,0.0
3127,0.24,0.33,0.24,0.13,0.04,0.01,0.01,0.0,0.0,0.0
3128,0.32,0.36,0.21,0.09,0.02,0.0,0.0,0.0,0.0,0.0
3129,0.23,0.34,0.26,0.13,0.03,0.01,0.0,0.0,0.0,0.0
3131,0.46,0.36,0.13,0.04,0.01,0.0,0.0,0.0,0.0,0.0
3132,0.61,0.29000000000000004,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3133,0.46,0.33,0.15,0.05,0.01,0.0,0.0,0.0,0.0,0.0
3134,0.48,0.34,0.13,0.04,0.01,0.0,0.0,0.0,0.0,0.0
3135,0.42,0.34,0.16,0.06,0.01,0.01,0.0,0.0,0.0,0.0
3139,0.66,0.25,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3141,0.23,0.35000000000000003,0.26,0.12,0.03,0.01,0.0,0.0,0.0,0.0
3142,0.37,0.4,0.17,0.05,0.01,0.0,0.0,0.0,0.0,0.0
3143,0.36,0.41000000000000003,0.17,0.05,0.01,0.0,0.0,0.0,0.0,0.0
3151,0.5700000000000001,0.31,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0
3152,0.47000000000000003,0.36,0.12,0.04,0.01,0.0,0.0,0.0,0.0,0.0
3153,0.46,0.35,0.13,0.05,0.01,0.0,0.0,0.0,0.0,0.0
3154,0.7,0.21000000000000002,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0
3155,0.25,0.27,0.22,0.14,0.06,0.03,0.02,0.01,0.0,0.0
3160,0.39,0.38,0.17,0.05,0.01,0.0,0.0,0.0,0.0,0.0
3201,0.5,0.36,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0
3202,0.4,0.38,0.16,0.05,0.01,0.0,0.0,0.0,0.0,0.0
3203,0.28,0.34,0.24,0.11,0.02,0.01,0.0,0.0,0.0,0.0
3204,0.55,0.31,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0
3205,0.63,0.28,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3206,0.61,0.29,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3207,0.6,0.31,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3209,0.28,0.36,0.23,0.1,0.02,0.01,0.0,0.0,0.0,0.0
3311,0.51,0.3,0.13,0.05,0.01,0.0,0.0,0.0,0.0,0.0
3312,0.52,0.31,0.12,0.04,0.01,0.0,0.0,0.0,0.0,0.0
3313,0.6,0.27,0.09,0.03,0.01,0.0,0.0,0.0,0.0,0.0
3314,0.5,0.32,0.12,0.05,0.01,0.0,0.0,0.0,0.0,0.0
3315,0.6,0.3,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3316,0.72,0.21,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3317,0.6,0.29,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3321,0.59,0.31,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3322,0.22,0.15,0.14,0.13,0.09,0.08,0.12,0.06,0.01,0.0
3323,0.31,0.27,0.2,0.13,0.05,0.02,0.01,0.01,0.0,0.0
3324,0.59,0.28,0.09,0.03,0.01,0.0,0.0,0.0,0.0,0.0
3325,0.62,0.3,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3326,0.26,0.32,0.24,0.12,0.04,0.01,0.01,0.0,0.0,0.0
3327,0.6,0.31,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0
3329,0.41414141414141414,0.3434343434343434,0.1717171717171717,0.0606060606060606,0.0101010101010101,0.0,0.0,0.0,0.0,0.0
3331,0.44,0.37,0.14,0.04,0.01,0.0,0.0,0.0,0.0,0.0
3339,0.7,0.25,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3401,0.19,0.15,0.16,0.15,0.1,0.07,0.09,0.06,0.02,0.01
3402,0.19,0.14,0.17,0.16,0.11,0.09,0.08,0.05,0.01,0.0
3403,0.19,0.11,0.13,0.13,0.1,0.09,0.13,0.08,0.03,0.01
3404,0.1313131313131313,0.1414141414141414,0.20202020202020202,0.20202020202020202,0.1313131313131313,0.0909090909090909,0.0707070707070707,0.0202020202020202,0.0101010101010101,0.0
3405,0.26,0.25,0.22,0.15,0.06,0.03,0.02,0.01,0.0,0.0
3510,0.19,0.31,0.25,0.15,0.06,0.02,0.01,0.01,0.0,0.0
3521,0.19,0.19,0.2,0.17,0.1,0.06,0.05,0.03,0.01,0.0
3522,0.14,0.15,0.19,0.2,0.12,0.08,0.07,0.04,0.01,0.0
3523,0.3,0.22,0.17,0.13,0.07,0.04,0.04,0.02,0.01,0.0
3531,0.31,0.19,0.15,0.13,0.06,0.04,0.06,0.05,0.01,0.0
3532,0.16,0.19,0.24,0.2,0.11,0.05,0.04,0.01,0.0,0.0
3533,0.22,0.21,0.21,0.16,0.08,0.05,0.04,0.02,0.01,0.0
3534,0.22,0.27,0.24,0.15,0.06,0.03,0.02,0.01,0.0,0.0
3535,0.16,0.13,0.19,0.18,0.13,0.08,0.08,0.04,0.01,0.0
3539,0.27,0.26,0.2,0.13,0.06,0.03,0.02,0.02,0.01,0.0
3611,0.12,0.14,0.22,0.2,0.13,0.08,0.07,0.03,0.01,0.0
3612,0.13,0.11,0.16,0.21000000000000002,0.14,0.1,0.09,0.05,0.01,0.0
3613,0.09,0.07,0.12,0.19,0.17,0.13,0.13,0.08,0.02,0.0
3614,0.16,0.14,0.17,0.19,0.12,0.08,0.09,0.04,0.01,0.0
3621,0.24000000000000002,0.17,0.17,0.16,0.09,0.06,0.06,0.04,0.01,0.0
3622,0.24,0.15,0.17,0.16,0.1,0.07,0.06,0.04,0.01,0.0
3623,0.31,0.19,0.16,0.13,0.07,0.05,0.05,0.03,0.01,0.0
3629,0.37,0.35000000000000003,0.2,0.07,0.01,0.0,0.0,0.0,0.0,0.0
3631,0.34,0.41000000000000003,0.18,0.06,0.01,0.0,0.0,0.0,0.0,0.0
3632,0.52,0.33,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0
3711,0.12,0.13,0.18,0.21000000000000002,0.14,0.1,0.08,0.03,0.01,0.0
3712,0.33,0.34,0.2,0.09,0.03,0.01,0.0,0.0,0.0,0.0
3713,0.24,0.31,0.23,0.13,0.05,0.02,0.01,0.01,0.0,0.0
3714,0.34,0.27,0.2,0.11,0.04,0.02,0.01,0.01,0.0,0.0
3715,0.44,0.34,0.15,0.06,0.01,0.0,0.0,0.0,0.0,0.0
3716,0.6,0.26,0.09,0.04,0.01,0.0,0.0,0.0,0.0,0.0
3721,0.6868686868686869,0.2626262626262626,0.0404040404040404,0.0101010101010101,0.0,0.0,0.0,0.0,0.0,0.0
3722,0.47000000000000003,0.39,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0
3723,0.6,0.32,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0
3724,0.45,0.39,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0
3731,0.24,0.33,0.23,0.12,0.05,0.02,0.01,0.0,0.0,0.0
3732,0.22,0.28,0.25,0.16,0.06,0.02,0.01,0.0,0.0,0.0
3733,0.2,0.3,0.29,0.15,0.04,0.01,0.01,0.0,0.0,0.0
3734,0.59,0.26,0.1,0.04,0.01,0.0,0.0,0.0,0.0,0.0
3739,0.5,0.37,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0
3811,0.3,0.31,0.16,0.1,0.05,0.03,0.04,0.01,0.0,0.0
3812,0.12,0.15,0.2,0.21000000000000002,0.13,0.08,0.07,0.03,0.01,0.0
3813,0.13,0.17,0.21,0.2,0.12,0.08,0.07,0.02,0.0,0.0
3814,0.09,0.08,0.13,0.19,0.15,0.14,0.14,0.07,0.01,0.0
3820,0.03,0.01,0.02,0.03,0.04,0.1,0.37,0.35,0.04,0.01
3831,0.39,0.29,0.17,0.09,0.03,0.01,0.01,0.01,0.0,0.0
3832,0.54,0.3,0.11,0.04,0.01,0.0,0.0,0.0,0.0,0.0
3833,0.22,0.31,0.26,0.14,0.05,0.01,0.01,0.0,0.0,0.0
4111,0.14,0.09,0.11,0.15000000000000002,0.12,0.11,0.18000000000000002,0.08,0.02,0.0
4112,0.28,0.15,0.11,0.1,0.07,0.06,0.13,0.06,0.03,0.01
4113,0.1,0.11,0.14,0.17,0.14,0.11,0.14,0.07,0.02,0.0
4121,0.35000000000000003,0.32,0.19,0.09,0.03,0.01,0.01,0.0,0.0,0.0
4122,0.23,0.15,0.17,0.17,0.1,0.07,0.06,0.04,0.01,0.0
4123,0.2,0.2,0.22,0.16,0.09,0.05,0.05,0.02,0.01,0.0
4210,0.25,0.3,0.22,0.13,0.05,0.02,0.02,0.01,0.0,0.0
4221,0.65,0.26,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0
4222,0.21,0.13,0.12,0.11,0.08,0.08,0.19,0.05,0.02,0.01
4223,0.16,0.14,0.14,0.14,0.11,0.08,0.14,0.07,0.02,0.0
4301,0.13,0.06,0.04,0.04,0.04,0.07,0.5,0.07,0.04,0.01
4309,0.08,0.08,0.13,0.2,0.16,0.13,0.16,0.05,0.01,0.0
4411,0.32,0.23,0.16,0.11,0.06,0.04,0.04,0.03,0.01,0.0
4412,0.29,0.23,0.18,0.12,0.07,0.04,0.04,0.02,0.01,0.0
4421,0.2,0.13,0.16,0.18,0.11,0.08,0.08,0.05,0.01,0.0
4422,0.33,0.25,0.17,0.12,0.06,0.03,0.03,0.01,0.0,0.0
4423,0.55,0.18,0.09,0.06,0.03,0.02,0.03,0.02,0.01,0.01
4424,0.28,0.16,0.14,0.11,0.07,0.06,0.07,0.07,0.03,0.01
4430,0.47000000000000003,0.24,0.13,0.07,0.03,0.02,0.02,0.01,0.01,0.0
4441,0.45,0.2,0.1,0.08,0.04,0.03,0.05,0.03,0.01,0.01
4442,0.8,0.12,0.03,0.01,0.0,0.0,0.01,0.01,0.01,0.01
4443,0.72,0.17,0.06,0.03,0.01,0.01,0.0,0.0,0.0,0.0
4444,0.52,0.25,0.12,0.06,0.02,0.01,0.01,0.01,0.0,0.0
4445,0.32,0.23,0.17,0.12,0.06,0.04,0.03,0.02,0.01,0.0
4446,0.58,0.22,0.1,0.05,0.02,0.01,0.01,0.01,0.0,0.0
4500,0.12,0.13,0.19,0.21,0.14,0.09,0.09,0.02,0.01,0.0
5000,0.83,0.13,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5110,0.96,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5120,0.8,0.16,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5210,0.28,0.37,0.22,0.09,0.03,0.01,0.0,0.0,0.0,0.0
5220,0.51,0.35,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0
5300,0.31,0.33,0.21,0.1,0.03,0.01,0.01,0.0,0.0,0.0
5411,0.5656565656565656,0.3333333333333333,0.0808080808080808,0.0202020202020202,0.0,0.0,0.0,0.0,0.0,0.0
5412,0.64,0.3,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5420,0.28,0.22,0.17,0.13,0.07,0.04,0.05,0.03,0.01,0.0
5430,0.75,0.19,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5491,0.45,0.36,0.14,0.04,0.01,0.0,0.0,0.0,0.0,0.0
5492,0.7,0.24000000000000002,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5493,0.89,0.08,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5499,0.68,0.24,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0
5500,0.7,0.21000000000000002,0.06,0.02,0.01,0.0,0.0,0.0,0.0,0.0
5611,0.6868686868686869,0.2525252525252525,0.050505050505050504,0.0101010101010101,0.0,0.0,0.0,0.0,0.0,0.0
5612,0.62,0.29,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0
5621,0.39,0.32,0.17,0.08,0.02,0.01,0.01,0.0,0.0,0.0
5622,0.52,0.36,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0
5629,0.71,0.23,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5710,0.61,0.33,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5721,0.61,0.33,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5722,0.84,0.13,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5811,0.73,0.2,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0
5812,0.7,0.22,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0
5821,0.74,0.21,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5822,0.78,0.17,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0
5823,0.41,0.36,0.16,0.06,0.01,0.0,0.0,0.0,0.0,0.0
5824,0.39999999999999997,0.32,0.17,0.07,0.02,0.01,0.01,0.0,0.0,0.0
5825,0.45,0.37,0.13,0.04,0.01,0.0,0.0,0.0,0.0,0.0
