occ_code,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
13-1051,0.17,0.17,0.19,0.19,0.12,0.06,0.06,0.03,0.01,0.0
13-1071,0.06,0.07,0.17,0.22999999999999998,0.2,0.12,0.1,0.04,0.01,0.0
13-1074,0.59,0.28,0.09,0.03,0.01,0.0,0.0,0.0,0.0,0.0
13-1075,0.33,0.23,0.16,0.13,0.06,0.03,0.03,0.02,0.01,0.0
13-1081,0.09,0.11,0.2,0.25,0.17,0.08,0.07,0.02,0.01,0.0
13-1111,0.06,0.06,0.12,0.22,0.18,0.14,0.14,0.07,0.01,0.0
13-1121,0.11,0.15,0.22,0.24,0.13,0.07,0.05,0.02,0.01,0.0
13-1131,0.12,0.14,0.23,0.22999999999999998,0.12,0.07,0.06,0.02,0.01,0.0
13-1141,0.12,0.12,0.17,0.21,0.14,0.09,0.09,0.05,0.01,0.0
13-1151,0.08,0.08,0.15,0.25,0.18,0.11,0.1,0.04,0.01,0.0
13-1161,0.04,0.04,0.1,0.2,0.19999999999999998,0.17,0.16,0.07,0.02,0.0
13-1199,0.12,0.1,0.16,0.25,0.17,0.09,0.07,0.03,0.01,0.0
13-2011,0.06,0.06,0.11,0.19,0.21000000000000002,0.14,0.15,0.06,0.02,0.0
13-2031,0.14,0.11,0.14,0.19,0.12,0.09,0.11,0.08,0.02,0.0
13-2041,0.14,0.11,0.15,0.18,0.14,0.09,0.1,0.07,0.02,0.0
13-2051,0.08,0.07,0.14,0.21,0.18,0.13,0.12,0.06,0.01,0.0
13-2052,0.12,0.14,0.2,0.21,0.14,0.08,0.07,0.03,0.01,0.0
13-2053,0.19999999999999998,0.13,0.14,0.15,0.1,0.08,0.09,0.07,0.03,0.01
13-2054,0.08,0.08,0.13,0.19,0.16,0.13,0.13,0.08,0.02,0.0
13-2061,0.18,0.15,0.18,0.18,0.11,0.07,0.08,0.04,0.01,0.0
13-2071,0.2,0.19,0.2,0.17,0.1,0.05,0.05,0.03,0.01,0.0
13-2072,0.1,0.1,0.16,0.22,0.16,0.1,0.1,0.05,0.01,0.0
13-2081,0.2,0.18,0.17,0.17,0.1,0.06,0.07,0.04,0.01,0.0
13-2082,0.18000000000000002,0.1,0.11,0.14,0.1,0.08,0.11,0.11,0.06,0.01
13-2099,0.13,0.09,0.16,0.23,0.17,0.09,0.08,0.04,0.01,0.0
15-1211,0.04,0.04,0.07,0.15,0.17,0.19,0.24,0.09,0.01,0.0
15-1212,0.05,0.05,0.09,0.18,0.18,0.16,0.2,0.08,0.01,0.0
15-1221,0.08,0.09,0.12,0.18000000000000002,0.14,0.11,0.16,0.1,0.02,0.0
15-1231,0.09,0.13,0.19,0.23,0.15,0.09,0.09,0.03,0.0,0.0
15-1232,0.16,0.19,0.19,0.19,0.11,0.06,0.06,0.03,0.01,0.0
15-1241,0.12,0.11,0.15,0.21000000000000002,0.14,0.1,0.11,0.05,0.01,0.0
15-1242,0.06,0.06,0.08,0.16,0.17,0.15,0.2,0.1,0.02,0.0
15-1243,0.09,0.07,0.1,0.15,0.13999999999999999,0.14,0.16999999999999998,0.12,0.02,0.0
15-1244,0.1,0.1,0.16,0.19,0.18,0.11,0.11,0.04,0.01,0.0
15-1251,0.04,0.01,0.01,0.01,0.01,0.03,0.12,0.72,0.04,0.01
15-1252,0.01,0.01,0.01,0.02,0.04,0.1,0.37,0.39,0.05,0.0
15-1253,0.07,0.06,0.11,0.19,0.17,0.14,0.17,0.08,0.01,0.0
15-1254,0.02,0.01,0.02,0.04,0.06,0.14,0.37,0.3,0.04,0.0
15-1255,0.08,0.09,0.16,0.23,0.18,0.11,0.1,0.04,0.01,0.0
15-1299,0.11,0.05,0.08,0.16,0.18,0.15,0.17,0.09,0.01,0.0
15-2011,0.21,0.18,0.16,0.16,0.1,0.06,0.07,0.05,0.01,0.0
15-2021,0.16,0.18000000000000002,0.15,0.16,0.11,0.08,0.09,0.06,0.01,0.0
15-2031,0.06,0.06,0.12,0.18,0.2,0.15,0.15,0.07,0.01,0.0
15-2041,0.07,0.08,0.12,0.21,0.18,0.14,0.13,0.06,0.01,0.0
15-2051,0.02,0.02,0.04,0.08,0.11,0.17,0.29,0.21,0.05,0.01
15-2099,0.17,0.11,0.15,0.2,0.13,0.08,0.09,0.06,0.01,0.0
17-1011,0.21,0.28,0.23,0.17,0.07,0.02,0.01,0.01,0.0,0.0
17-1012,0.22,0.28,0.26,0.17,0.05,0.01,0.01,0.0,0.0,0.0
17-1021,0.19,0.21,0.2,0.17,0.1,0.05,0.05,0.02,0.01,0.0
17-1022,0.46,0.35,0.13,0.05,0.01,0.0,0.0,0.0,0.0,0.0
17-2011,0.26,0.34,0.21,0.13,0.04,0.01,0.01,0.0,0.0,0.0
17-2021,0.3,0.36,0.23,0.09,0.02,0.0,0.0,0.0,0.0,0.0
17-2031,0.16,0.3,0.26,0.18,0.07,0.02,0.01,0.0,0.0,0.0
17-2041,0.26,0.33,0.22,0.13,0.04,0.01,0.01,0.0,0.0,0.0
17-2051,0.19,0.29,0.27,0.17,0.06,0.01,0.01,0.0,0.0,0.0
17-2061,0.23,0.28,0.22,0.15,0.06,0.03,0.02,0.01,0.0,0.0
17-2071,0.16,0.24,0.25,0.21,0.08,0.03,0.02,0.01,0.0,0.0
17-2072,0.19,0.31,0.25,0.16,0.06,0.02,0.01,0.0,0.0,0.0
17-2081,0.18,0.24,0.28,0.2,0.07,0.02,0.01,0.0,0.0,0.0
17-2111,0.1717171717171717,0.2626262626262626,0.2828282828282828,0.1818181818181818,0.0707070707070707,0.0202020202020202,0.0101010101010101,0.0,0.0,0.0
17-2112,0.13,0.19,0.24000000000000002,0.24000000000000002,0.11,0.05,0.03,0.01,0.0,0.0
17-2121,0.33999999999999997,0.33,0.19,0.09,0.03,0.01,0.01,0.0,0.0,0.0
17-2131,0.21,0.34,0.26,0.14,0.04,0.01,0.0,0.0,0.0,0.0
17-2141,0.18,0.3,0.28,0.17,0.05,0.01,0.01,0.0,0.0,0.0
17-2151,0.32,0.4,0.2,0.07,0.01,0.0,0.0,0.0,0.0,0.0
17-2161,0.3,0.35000000000000003,0.19,0.11,0.03,0.01,0.01,0.0,0.0,0.0
17-2171,0.28,0.35,0.21,0.11,0.03,0.01,0.01,0.0,0.0,0.0
17-2199,0.18,0.2,0.25,0.2,0.09,0.04,0.03,0.01,0.0,0.0
17-3011,0.34,0.29,0.16,0.11,0.05,0.02,0.02,0.01,0.0,0.0
17-3012,0.46,0.23,0.12,0.08,0.04,0.02,0.02,0.02,0.01,0.0
17-3013,0.4,0.26,0.14,0.09,0.04,0.02,0.02,0.02,0.01,0.0
17-3021,0.41,0.33,0.16,0.07,0.02,0.01,0.0,0.0,0.0,0.0
17-3022,0.18,0.31,0.28,0.17,0.05,0.01,0.0,0.0,0.0,0.0
17-3023,0.32,0.38,0.2,0.08,0.02,0.0,0.0,0.0,0.0,0.0
17-3024,0.52,0.36,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0
17-3025,0.33,0.39,0.2,0.07,0.01,0.0,0.0,0.0,0.0,0.0
17-3026,0.34,0.32,0.22,0.1,0.02,0.0,0.0,0.0,0.0,0.0
17-3027,0.31,0.38,0.22,0.08,0.01,0.0,0.0,0.0,0.0,0.0
17-3029,0.27,0.34,0.23,0.12,0.03,0.01,0.0,0.0,0.0,0.0
17-3031,0.25,0.35,0.24,0.11,0.03,0.01,0.01,0.0,0.0,0.0
19-1011,0.38,0.35000000000000003,0.18,0.08,0.01,0.0,0.0,0.0,0.0,0.0
19-1012,0.26,0.34,0.22,0.12,0.04,0.01,0.01,0.0,0.0,0.0
19-1013,0.31,0.36,0.22,0.09,0.02,0.0,0.0,0.0,0.0,0.0
19-1021,0.27,0.34,0.22,0.12,0.03,0.01,0.01,0.0,0.0,0.0
19-1022,0.4,0.35,0.17,0.07,0.01,0.0,0.0,0.0,0.0,0.0
19-1023,0.29,0.41000000000000003,0.21,0.08,0.01,0.0,0.0,0.0,0.0,0.0
19-1029,0.26,0.35,0.22,0.12,0.03,0.01,0.01,0.0,0.0,0.0
19-1031,0.3,0.36,0.22,0.1,0.02,0.0,0.0,0.0,0.0,0.0
19-1032,0.3,0.38,0.21,0.09,0.02,0.0,0.0,0.0,0.0,0.0
19-1041,0.16,0.18,0.24000000000000002,0.22,0.1,0.05,0.04,0.01,0.0,0.0
19-1042,0.18,0.25,0.25,0.18,0.08,0.03,0.02,0.01,0.0,0.0
19-2011,0.28,0.3,0.2,0.13,0.05,0.02,0.01,0.01,0.0,0.0
19-2012,0.19,0.3,0.23,0.17,0.06,0.02,0.02,0.01,0.0,0.0
19-2021,0.21,0.19999999999999998,0.19,0.17,0.08,0.05,0.06,0.03,0.01,0.0
19-2031,0.3,0.33,0.2,0.12,0.03,0.01,0.01,0.0,0.0,0.0
19-2032,0.26,0.37,0.22,0.11,0.03,0.01,0.0,0.0,0.0,0.0
19-2041,0.1717171717171717,0.2626262626262626,0.2727272727272727,0.1919191919191919,0.0707070707070707,0.0202020202020202,0.0101010101010101,0.0,0.0,0.0
19-2042,0.26,0.38,0.24,0.1,0.02,0.0,0.0,0.0,0.0,0.0
19-2043,0.27,0.29,0.24,0.14,0.04,0.01,0.01,0.0,0.0,0.0
19-2099,0.2626262626262626,0.2727272727272727,0.23232323232323232,0.1414141414141414,0.050505050505050504,0.0202020202020202,0.0101010101010101,0.0101010101010101,0.0,0.0
19-3011,0.08,0.09,0.15,0.21,0.18,0.12,0.11,0.05,0.01,0.0
19-3022,0.11,0.11,0.18,0.22,0.15,0.1,0.08,0.04,0.01,0.0
19-3032,0.09,0.1,0.17,0.23,0.17,0.1,0.09,0.04,0.01,0.0
19-3033,0.28,0.31,0.2,0.13,0.04,0.02,0.01,0.01,0.0,0.0
19-3034,0.23,0.25,0.23,0.16,0.07,0.03,0.02,0.01,0.0,0.0
19-3039,0.24,0.3,0.23,0.14,0.05,0.02,0.01,0.01,0.0,0.0
19-3041,0.15,0.19,0.22999999999999998,0.22,0.1,0.04,0.04,0.02,0.01,0.0
19-3051,0.16,0.18,0.23,0.24000000000000002,0.1,0.05,0.03,0.01,0.0,0.0
19-3091,0.31,0.39,0.2,0.08,0.02,0.0,0.0,0.0,0.0,0.0
19-3092,0.17,0.2,0.25,0.2,0.09,0.05,0.03,0.01,0.0,0.0
19-3093,0.19,0.19,0.19,0.19,0.1,0.05,0.05,0.03,0.01,0.0
19-3094,0.11,0.12,0.18,0.23,0.14,0.09,0.08,0.04,0.01,0.0
19-3099,0.16,0.15,0.22,0.23,0.12,0.05,0.04,0.02,0.01,0.0
19-4012,0.5,0.34,0.12,0.03,0.01,0.0,0.0,0.0,0.0,0.0
19-4013,0.5,0.31,0.13,0.05,0.01,0.0,0.0,0.0,0.0,0.0
19-4021,0.37,0.38,0.17,0.07,0.01,0.0,0.0,0.0,0.0,0.0
19-4031,0.35,0.38,0.18,0.08,0.01,0.0,0.0,0.0,0.0,0.0
19-4042,0.44,0.37,0.14,0.04,0.01,0.0,0.0,0.0,0.0,0.0
19-4043,0.53,0.34,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0
19-4051,0.52,0.35000000000000003,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0
19-4061,0.09,0.14,0.25,0.26,0.13,0.07,0.04,0.02,0.0,0.0
19-4071,0.44,0.4,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0
19-4092,0.5,0.36,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0
19-4099,0.32,0.33,0.21,0.11,0.02,0.01,0.0,0.0,0.0,0.0
19-5011,0.19,0.28,0.27,0.17,0.06,0.02,0.01,0.0,0.0,0.0
19-5012,0.29,0.37,0.22,0.1,0.02,0.0,0.0,0.0,0.0,0.0
21-1012,0.23,0.28,0.21,0.16,0.07,0.02,0.02,0.01,0.0,0.0
21-1013,0.33,0.31,0.18,0.11,0.04,0.01,0.01,0.01,0.0,0.0
21-1015,0.23232323232323232,0.2828282828282828,0.23232323232323232,0.1515151515151515,0.0707070707070707,0.0202020202020202,0.0101010101010101,0.0,0.0,0.0
21-1021,0.29,0.4,0.2,0.09,0.02,0.0,0.0,0.0,0.0,0.0
21-1022,0.24,0.28,0.22,0.15,0.06,0.02,0.02,0.01,0.0,0.0
21-1023,0.25,0.33,0.23,0.13,0.04,0.01,0.01,0.0,0.0,0.0
21-1091,0.14,0.19,0.25,0.21,0.11,0.05,0.04,0.01,0.0,0.0
21-1092,0.29,0.29,0.21,0.13,0.04,0.02,0.01,0.01,0.0,0.0
21-1093,0.24,0.34,0.24,0.13,0.03,0.01,0.01,0.0,0.0,0.0
21-1094,0.41,0.4,0.14,0.04,0.01,0.0,0.0,0.0,0.0,0.0
21-2011,0.41000000000000003,0.32,0.16,0.08,0.02,0.01,0.0,0.0,0.0,0.0
21-2021,0.3,0.32,0.2,0.12,0.04,0.01,0.01,0.0,0.0,0.0
23-1011,0.05,0.07,0.16,0.24,0.19,0.12,0.11,0.05,0.01,0.0
23-1012,0.13,0.08,0.11,0.15,0.12,0.11,0.13,0.12,0.04,0.01
23-1021,0.32,0.24000000000000002,0.17,0.13,0.06,0.03,0.03,0.02,0.0,0.0
23-1022,0.48,0.25,0.13,0.08,0.03,0.01,0.01,0.01,0.0,0.0
23-1023,0.4,0.28,0.14,0.09,0.04,0.02,0.02,0.01,0.0,0.0
23-2011,0.05,0.04,0.09,0.18,0.18,0.16,0.19,0.09,0.02,0.0
23-2093,0.25,0.15,0.13,0.12,0.08,0.06,0.08,0.08,0.04,0.01
25-1011,0.11,0.19,0.24,0.22,0.12,0.05,0.05,0.02,0.0,0.0
25-1021,0.09,0.13,0.19,0.24,0.14,0.09,0.08,0.03,0.01,0.0
25-1022,0.18,0.25,0.22,0.18,0.09,0.04,0.03,0.01,0.0,0.0
25-1031,0.23,0.27999999999999997,0.25,0.15,0.05,0.02,0.01,0.01,0.0,0.0
25-1032,0.14,0.24,0.25,0.2,0.09,0.04,0.03,0.01,0.0,0.0
25-1041,0.21,0.31,0.25,0.15,0.05,0.02,0.01,0.0,0.0,0.0
25-1042,0.16,0.28,0.25,0.18,0.07,0.03,0.02,0.01,0.0,0.0
25-1043,0.23,0.3,0.24,0.14,0.05,0.02,0.01,0.01,0.0,0.0
25-1051,0.17,0.31,0.24,0.17,0.06,0.02,0.02,0.01,0.0,0.0
25-1052,0.18,0.3,0.26,0.17,0.06,0.02,0.01,0.0,0.0,0.0
25-1053,0.16,0.24,0.27,0.19,0.08,0.03,0.02,0.01,0.0,0.0
25-1054,0.19,0.27,0.24,0.17,0.07,0.03,0.02,0.01,0.0,0.0
25-1061,0.25,0.31,0.22,0.15,0.04,0.02,0.01,0.0,0.0,0.0
25-1062,0.15,0.2,0.22,0.21,0.1,0.05,0.05,0.02,0.0,0.0
25-1063,0.14,0.22,0.26,0.21,0.09,0.04,0.03,0.01,0.0,0.0
25-1064,0.17,0.27,0.26,0.17,0.07,0.03,0.02,0.01,0.0,0.0
25-1065,0.14,0.21,0.24,0.21,0.1,0.05,0.04,0.01,0.0,0.0
25-1066,0.16,0.22,0.24000000000000002,0.21,0.09,0.04,0.03,0.01,0.0,0.0
25-1067,0.16,0.23,0.24000000000000002,0.2,0.09,0.04,0.03,0.01,0.0,0.0
25-1071,0.16,0.27,0.25,0.19,0.07,0.03,0.02,0.01,0.0,0.0
25-1072,0.24,0.35000000000000003,0.25,0.12,0.03,0.01,0.0,0.0,0.0,0.0
25-1081,0.09,0.15,0.24,0.26,0.13,0.06,0.05,0.02,0.0,0.0
25-1082,0.19,0.24000000000000002,0.21,0.17,0.08,0.04,0.04,0.02,0.01,0.0
25-1111,0.18,0.26,0.23,0.19,0.08,0.03,0.02,0.01,0.0,0.0
25-1112,0.15,0.22,0.2,0.2,0.1,0.05,0.05,0.02,0.01,0.0
25-1113,0.2,0.24,0.24,0.17,0.08,0.03,0.03,0.01,0.0,0.0
25-1121,0.24,0.34,0.24,0.13,0.03,0.01,0.01,0.0,0.0,0.0
25-1122,0.14,0.22,0.27,0.2,0.09,0.04,0.03,0.01,0.0,0.0
25-1123,0.11,0.18,0.22,0.22,0.12,0.06,0.05,0.03,0.01,0.0
25-1124,0.18,0.27,0.25,0.18,0.07,0.02,0.02,0.01,0.0,0.0
25-1125,0.16,0.23,0.25,0.2,0.08,0.04,0.03,0.01,0.0,0.0
25-1126,0.18,0.27,0.23,0.17,0.08,0.03,0.03,0.01,0.0,0.0
25-1192,0.18,0.29,0.25,0.17,0.06,0.02,0.02,0.01,0.0,0.0
25-1193,0.21,0.32,0.25,0.15,0.05,0.01,0.01,0.0,0.0,0.0
25-1194,0.23,0.36,0.25,0.12,0.03,0.01,0.0,0.0,0.0,0.0
25-2011,0.42,0.39,0.14,0.04,0.01,0.0,0.0,0.0,0.0,0.0
25-2012,0.36,0.39,0.17,0.07,0.01,0.0,0.0,0.0,0.0,0.0
25-2021,0.19,0.34,0.26,0.15,0.04,0.01,0.01,0.0,0.0,0.0
25-2022,0.12,0.26,0.31,0.21,0.07,0.02,0.01,0.0,0.0,0.0
25-2023,0.27,0.36,0.23,0.11,0.02,0.01,0.0,0.0,0.0,0.0
25-2031,0.12,0.23,0.27999999999999997,0.22,0.09,0.03,0.02,0.01,0.0,0.0
25-2032,0.21,0.34,0.27,0.14,0.03,0.01,0.0,0.0,0.0,0.0
25-2051,0.29,0.42,0.21,0.07,0.01,0.0,0.0,0.0,0.0,0.0
25-2057,0.13,0.29,0.31,0.18,0.06,0.02,0.01,0.0,0.0,0.0
25-2058,0.14,0.27,0.31,0.19,0.06,0.02,0.01,0.0,0.0,0.0
25-2059,0.25,0.31,0.24,0.14,0.04,0.01,0.01,0.0,0.0,0.0
25-3011,0.18,0.24000000000000002,0.24000000000000002,0.18,0.08,0.04,0.03,0.01,0.0,0.0
25-3021,0.45,0.31,0.15,0.06,0.02,0.01,0.0,0.0,0.0,0.0
25-3041,0.16,0.15,0.19,0.19,0.11,0.07,0.07,0.05,0.01,0.0
25-4011,0.19,0.22,0.23,0.17,0.08,0.04,0.04,0.02,0.01,0.0
25-4012,0.19,0.27,0.24,0.17,0.07,0.03,0.02,0.01,0.0,0.0
25-4013,0.46,0.39,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0
25-4022,0.12,0.17,0.25,0.22,0.12,0.06,0.04,0.02,0.0,0.0
25-4031,0.35,0.38,0.19,0.07,0.01,0.0,0.0,0.0,0.0,0.0
25-9021,0.31,0.35000000000000003,0.19,0.1,0.03,0.01,0.01,0.0,0.0,0.0
25-9031,0.07,0.07,0.14,0.21,0.18,0.14,0.12,0.06,0.01,0.0
25-9044,0.12,0.12,0.17,0.2,0.14,0.1,0.09,0.05,0.01,0.0
27-1011,0.23,0.27,0.2,0.16,0.07,0.03,0.03,0.01,0.0,0.0
27-1012,0.73,0.22,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0
27-1013,0.49,0.34,0.12,0.04,0.01,0.0,0.0,0.0,0.0,0.0
27-1014,0.29,0.27,0.17,0.12,0.06,0.03,0.03,0.02,0.01,0.0
27-1021,0.27,0.32,0.23,0.12,0.04,0.01,0.01,0.0,0.0,0.0
27-1022,0.32,0.34,0.2,0.09,0.03,0.01,0.01,0.0,0.0,0.0
27-1023,0.77,0.18000000000000002,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0
27-1024,0.2,0.21,0.2,0.18,0.09,0.05,0.04,0.02,0.01,0.0
27-1025,0.16,0.24,0.29,0.2,0.08,0.02,0.01,0.0,0.0,0.0
27-1026,0.77,0.18,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0
27-1027,0.38,0.33,0.2,0.08,0.01,0.0,0.0,0.0,0.0,0.0
27-2011,0.62,0.27,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0
27-2012,0.24,0.28,0.22,0.16,0.06,0.02,0.01,0.01,0.0,0.0
27-2021,0.92,0.06,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
27-2022,0.58,0.31,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0
27-2023,0.83,0.13,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0
27-2031,0.89,0.08,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
27-2032,0.76,0.17,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0
27-2041,0.29,0.28,0.2,0.13,0.05,0.02,0.02,0.01,0.0,0.0
27-2042,0.6,0.26,0.09,0.04,0.01,0.0,0.0,0.0,0.0,0.0
27-3011,0.41,0.27,0.15,0.09,0.03,0.01,0.02,0.01,0.01,0.0
27-3023,0.10101010101010101,0.1313131313131313,0.20202020202020202,0.23232323232323232,0.1414141414141414,0.0808080808080808,0.0707070707070707,0.0303030303030303,0.0101010101010101,0.0
27-3031,0.03,0.03,0.1,0.2,0.2,0.17,0.17,0.08,0.02,0.0
27-3041,0.06,0.05,0.09,0.17,0.16,0.15,0.17,0.12,0.03,0.0
27-3042,0.06,0.05,0.09,0.15,0.16,0.14,0.17,0.13,0.04,0.01
27-3043,0.07,0.06,0.12,0.17,0.15,0.12,0.14,0.12,0.04,0.01
27-3091,0.22,0.17,0.14,0.13,0.08,0.06,0.08,0.08,0.03,0.01
27-3092,0.37,0.18,0.12,0.1,0.05,0.04,0.06,0.05,0.02,0.01
27-4011,0.7,0.23,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0
27-4012,0.61,0.27,0.08,0.03,0.01,0.0,0.0,0.0,0.0,0.0
27-4014,0.48,0.31,0.13,0.06,0.01,0.01,0.0,0.0,0.0,0.0
27-4021,0.32,0.37,0.19,0.09,0.02,0.01,0.0,0.0,0.0,0.0
27-4031,0.7979797979797979,0.1414141414141414,0.0404040404040404,0.0202020202020202,0.0,0.0,0.0,0.0,0.0,0.0
27-4032,0.39,0.22,0.14,0.1,0.05,0.03,0.04,0.02,0.01,0.0
29-1011,0.5454545454545454,0.3434343434343434,0.0909090909090909,0.0202020202020202,0.0,0.0,0.0,0.0,0.0,0.0
29-1021,0.3939393939393939,0.40404040404040403,0.1414141414141414,0.050505050505050504,0.0101010101010101,0.0,0.0,0.0,0.0,0.0
29-1022,0.49,0.39,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0
29-1023,0.48,0.36,0.11,0.04,0.01,0.0,0.0,0.0,0.0,0.0
29-1024,0.5,0.34,0.11,0.04,0.01,0.0,0.0,0.0,0.0,0.0
29-1031,0.18,0.27,0.27,0.18,0.06,0.02,0.01,0.01,0.0,0.0
29-1041,0.45,0.34,0.14,0.06,0.01,0.0,0.0,0.0,0.0,0.0
29-1051,0.22,0.27,0.2,0.16,0.07,0.04,0.03,0.01,0.0,0.0
29-1071,0.18,0.25,0.25,0.19,0.08,0.03,0.01,0.01,0.0,0.0
29-1081,0.47,0.35,0.13,0.04,0.01,0.0,0.0,0.0,0.0,0.0
29-1122,0.27,0.4,0.24,0.08,0.01,0.0,0.0,0.0,0.0,0.0
29-1123,0.35,0.42,0.17,0.05,0.01,0.0,0.0,0.0,0.0,0.0
29-1124,0.37,0.39,0.17,0.06,0.01,0.0,0.0,0.0,0.0,0.0
29-1125,0.43,0.34,0.16,0.06,0.01,0.0,0.0,0.0,0.0,0.0
29-1126,0.35,0.39,0.18,0.07,0.01,0.0,0.0,0.0,0.0,0.0
29-1127,0.27,0.36,0.21,0.11,0.03,0.01,0.01,0.0,0.0,0.0
29-1128,0.4,0.33,0.18,0.07,0.02,0.0,0.0,0.0,0.0,0.0
29-1129,0.39,0.33,0.16,0.08,0.02,0.01,0.01,0.0,0.0,0.0
29-1131,0.31,0.39,0.21,0.08,0.01,0.0,0.0,0.0,0.0,0.0
29-1141,0.19,0.37,0.27,0.13,0.03,0.01,0.0,0.0,0.0,0.0
29-1151,0.52,0.32,0.11,0.04,0.01,0.0,0.0,0.0,0.0,0.0
29-1161,0.4,0.37,0.16,0.06,0.01,0.0,0.0,0.0,0.0,0.0
29-1171,0.18,0.21,0.22,0.18,0.1,0.06,0.04,0.01,0.0,0.0
